team_size,team_members_absent_same_period,team_critical_employees_absent,is_critical_period,duration_days,employee_seniority_months,absences_last_6_months,late_arrivals_last_30_days,approved_requests_last_year,rejected_requests_last_year,anomaly_score_last_30_days,days_until_period_end,start_date,approved,request_id,request_type,employee_id,employee_department,end_date
8,1,1,True,10,30,3,3,4,1,0.683423685296578,0,2026-05-23,0,10014,TELETRAVAIL,1096,Support,2026-06-01
10,0,0,False,4,68,1,2,4,1,0.18939576042278153,24,2026-06-11,1,10015,CONGE,1190,Sales,2026-06-14
9,1,0,True,5,54,4,0,3,2,0.3434302964541774,6,2026-05-25,0,10016,AUTORISATION,1023,Sales,2026-05-29
7,5,2,True,10,33,11,3,0,2,0.7496836112261676,3,2026-05-28,0,10017,TELETRAVAIL,1061,Operations,2026-06-06
8,5,2,True,10,19,11,4,3,5,0.5740735179119082,3,2026-05-21,0,10018,CONGE,1059,Support,2026-05-30
3,2,2,False,5,32,4,6,1,3,0.8474055944499446,2,2026-05-19,0,10019,TELETRAVAIL,1082,Sales,2026-05-23
10,1,0,False,2,18,3,2,4,0,0.3324450688499625,3,2026-06-06,1,10020,AUTORISATION,1030,Finance,2026-06-07
5,1,1,True,7,22,6,3,3,3,0.5002964744809368,4,2026-06-02,1,10021,CONGE,1186,Engineering,2026-06-08
6,0,0,False,1,87,3,0,5,1,0.2777049742571546,22,2026-05-27,1,10022,TELETRAVAIL,1083,Engineering,2026-05-27
3,2,2,True,8,5,8,9,0,3,0.6354269113014228,0,2026-05-19,0,10023,TELETRAVAIL,1101,Finance,2026-05-26
6,3,2,True,10,20,5,7,3,2,0.5631528186787607,5,2026-05-28,0,10024,TELETRAVAIL,1001,Operations,2026-06-06
5,1,0,True,9,40,5,4,2,2,0.6317714459530945,1,2026-06-06,0,10025,CONGE,1159,Support,2026-06-14
5,1,1,True,11,38,3,2,2,2,0.4703528345494039,1,2026-06-03,0,10026,TELETRAVAIL,1192,Operations,2026-06-13
8,0,0,False,2,119,2,2,8,1,0.026623542782071265,3,2026-06-02,1,10027,TELETRAVAIL,1118,Sales,2026-06-03
3,1,2,False,4,21,5,3,1,4,0.5519705286494098,1,2026-05-22,0,10028,TELETRAVAIL,1004,Finance,2026-05-25
5,0,0,False,1,61,2,1,7,1,0.12719643878081976,11,2026-06-25,1,10029,AUTORISATION,1100,Finance,2026-06-25
8,6,1,True,5,8,5,7,2,5,0.5221643539674173,2,2026-05-19,0,10030,CONGE,1074,Operations,2026-05-23
8,0,0,False,1,23,1,2,7,0,0.3374299806391011,24,2026-06-26,1,10031,AUTORISATION,1047,Operations,2026-06-26
6,5,2,False,11,5,10,6,1,4,0.8859074648551508,5,2026-05-25,0,10032,TELETRAVAIL,1156,Sales,2026-06-04
5,1,0,True,9,14,4,3,3,2,0.4465569799304989,3,2026-05-25,1,10033,AUTORISATION,1065,Support,2026-06-02
5,2,2,False,14,30,7,8,1,3,0.881852219948131,3,2026-05-21,0,10034,TELETRAVAIL,1130,Sales,2026-06-03
8,1,1,True,6,45,2,1,4,3,0.6442876273303576,9,2026-06-03,1,10035,CONGE,1190,Finance,2026-06-08
9,1,0,False,1,71,3,2,3,1,0.3203536704340387,28,2026-06-15,1,10036,TELETRAVAIL,1118,Support,2026-06-15
7,6,1,True,6,2,4,6,2,2,0.7542277751625988,1,2026-05-28,0,10037,CONGE,1114,Support,2026-06-02
6,1,1,True,9,32,3,2,2,3,0.3478934354004491,7,2026-06-02,0,10038,CONGE,1144,Engineering,2026-06-10
7,4,2,False,11,12,9,9,3,5,0.6217407234095791,5,2026-05-28,0,10039,TELETRAVAIL,1106,Sales,2026-06-07
11,0,0,False,5,74,1,2,5,0,0.22119722610116,21,2026-05-25,1,10040,AUTORISATION,1187,Sales,2026-05-29
10,0,0,False,4,118,0,2,8,1,0.04739143088681655,8,2026-06-06,1,10041,AUTORISATION,1175,Finance,2026-06-09
8,1,0,False,4,73,0,0,6,1,0.11814361013763595,24,2026-05-23,1,10042,AUTORISATION,1091,Sales,2026-05-26
8,1,0,False,4,97,2,0,5,1,0.3516800097230981,20,2026-06-29,1,10043,CONGE,1155,Operations,2026-07-02
9,1,0,False,4,31,2,1,3,1,0.01159980128178777,26,2026-05-23,1,10044,CONGE,1048,Support,2026-05-26
3,2,1,False,13,32,4,2,0,2,0.7726663299414774,0,2026-05-20,0,10045,AUTORISATION,1160,Operations,2026-06-01
4,2,2,False,12,5,10,8,2,5,0.5180680847961799,5,2026-05-19,0,10046,TELETRAVAIL,1040,Engineering,2026-05-30
4,1,1,True,5,51,4,0,6,3,0.3772165963475616,0,2026-05-30,0,10047,CONGE,1019,Finance,2026-06-03
7,5,1,False,3,2,5,9,1,4,0.5779075308901265,2,2026-05-24,0,10048,CONGE,1154,Engineering,2026-05-26
6,4,2,False,13,21,7,3,0,5,0.635604184631623,2,2026-05-24,0,10049,TELETRAVAIL,1107,Finance,2026-06-05
6,1,0,True,9,43,4,4,4,1,0.35363784394910613,1,2026-06-06,1,10050,AUTORISATION,1055,Engineering,2026-06-14
7,0,0,False,4,58,2,2,5,0,0.0870514106787848,12,2026-06-23,1,10051,AUTORISATION,1117,Finance,2026-06-26
7,0,0,False,3,66,1,0,4,0,0.22630876017276838,17,2026-06-03,1,10052,TELETRAVAIL,1140,Support,2026-06-05
6,4,1,True,12,7,7,6,2,4,0.7307326600730412,2,2026-05-22,0,10053,AUTORISATION,1147,Support,2026-06-02
8,7,2,False,9,9,6,6,3,3,0.5521355259508708,3,2026-05-24,0,10054,CONGE,1014,Operations,2026-06-01
10,0,0,False,3,52,1,0,8,0,0.2970770266900343,27,2026-06-02,1,10055,CONGE,1087,Operations,2026-06-04
5,3,1,False,11,5,8,4,2,5,0.9479590126626367,3,2026-05-26,0,10056,AUTORISATION,1084,Sales,2026-06-05
3,2,1,False,7,1,9,3,3,4,0.5736880869162331,4,2026-05-26,0,10057,CONGE,1083,Operations,2026-06-01
8,6,2,False,10,5,8,5,3,3,0.5360221776407833,5,2026-05-21,0,10058,AUTORISATION,1008,Support,2026-05-30
11,0,0,False,1,42,3,2,3,1,0.11682373212581135,6,2026-06-03,1,10059,CONGE,1098,Operations,2026-06-03
9,0,0,False,2,42,3,2,8,1,0.25965962005370974,12,2026-05-25,1,10060,AUTORISATION,1158,Finance,2026-05-26
10,0,0,False,3,107,1,2,8,0,0.30745103578375166,14,2026-06-22,1,10061,AUTORISATION,1170,Sales,2026-06-24
6,3,1,True,13,21,7,8,2,4,0.6793486280156933,0,2026-05-24,0,10062,AUTORISATION,1183,Finance,2026-06-05
9,0,0,False,2,37,1,0,7,1,0.1792829313027486,12,2026-06-05,1,10063,CONGE,1028,Support,2026-06-06
7,0,0,False,1,89,2,1,7,1,0.24814308386321762,26,2026-06-02,1,10064,TELETRAVAIL,1196,Finance,2026-06-02
6,5,2,False,8,31,4,2,2,4,0.6980399147873159,4,2026-05-21,0,10065,TELETRAVAIL,1192,Finance,2026-05-28
3,2,1,False,14,27,9,4,0,2,0.5184261321285739,3,2026-05-20,0,10066,AUTORISATION,1192,Support,2026-06-02
8,5,2,True,3,28,9,2,0,4,0.8609269041435759,1,2026-05-22,0,10067,AUTORISATION,1088,Operations,2026-05-24
5,0,0,False,5,22,1,0,9,1,0.2853032785246793,19,2026-06-06,1,10068,AUTORISATION,1001,Operations,2026-06-10
5,4,1,True,4,22,5,8,1,2,0.7315832039523574,1,2026-05-22,0,10069,AUTORISATION,1106,Engineering,2026-05-25
9,1,0,False,4,43,0,1,8,1,0.3413378684576238,10,2026-06-16,1,10070,AUTORISATION,1059,Finance,2026-06-19
9,0,0,False,3,108,3,0,7,0,0.13677077541826416,13,2026-06-02,1,10071,AUTORISATION,1084,Operations,2026-06-04
6,3,1,True,4,21,5,9,3,4,0.7678457781860173,0,2026-05-26,0,10072,TELETRAVAIL,1099,Operations,2026-05-29
7,0,0,False,1,55,0,0,5,0,0.007067512399964882,9,2026-05-27,1,10073,TELETRAVAIL,1192,Finance,2026-05-27
8,0,0,False,5,116,3,1,6,1,0.3587987195091981,8,2026-06-28,1,10074,TELETRAVAIL,1047,Support,2026-07-02
4,2,2,True,11,22,9,2,1,5,0.6451215562258994,1,2026-05-24,0,10075,CONGE,1031,Sales,2026-06-03
11,0,0,False,2,98,2,2,7,0,0.19050292343469027,28,2026-06-14,1,10076,AUTORISATION,1117,Finance,2026-06-15
7,6,2,True,5,20,6,2,1,4,0.929907242684515,5,2026-05-21,0,10077,TELETRAVAIL,1186,Support,2026-05-25
11,1,0,False,1,47,0,0,4,1,0.18204713696470495,1,2026-06-22,1,10078,CONGE,1103,Finance,2026-06-22
7,0,0,False,1,82,1,2,3,1,0.0828082166099248,20,2026-06-26,1,10079,AUTORISATION,1060,Support,2026-06-26
7,0,0,False,1,47,0,1,9,0,0.20326694232515005,0,2026-05-28,1,10080,CONGE,1097,Engineering,2026-05-28
7,0,0,False,4,65,3,1,4,0,0.0969931412113331,9,2026-06-14,1,10081,AUTORISATION,1095,Operations,2026-06-17
9,1,0,False,2,112,1,0,6,0,0.28462321663871115,5,2026-06-04,1,10082,CONGE,1120,Engineering,2026-06-05
5,0,0,False,1,18,3,0,8,0,0.044251787024881306,21,2026-06-29,1,10083,TELETRAVAIL,1095,Sales,2026-06-29
5,1,0,True,5,21,6,2,5,2,0.6091749552541136,1,2026-05-31,0,10084,AUTORISATION,1171,Sales,2026-06-04
4,3,2,False,10,3,6,7,3,2,0.8596460850086709,2,2026-05-23,0,10085,CONGE,1120,Sales,2026-06-01
6,0,0,False,2,101,0,2,3,1,0.007613659126994632,10,2026-06-17,1,10086,AUTORISATION,1033,Finance,2026-06-18
7,4,2,False,6,6,8,3,0,5,0.8118929421183656,1,2026-05-26,0,10087,CONGE,1034,Finance,2026-05-31
6,3,2,False,3,21,8,5,0,4,0.8961711350574615,6,2026-05-19,0,10088,TELETRAVAIL,1107,Engineering,2026-05-21
9,1,0,False,3,78,0,0,5,1,0.3344980707370405,5,2026-05-24,1,10089,CONGE,1010,Support,2026-05-26
10,1,0,False,2,81,2,0,6,1,0.27104830543991765,11,2026-06-26,1,10090,TELETRAVAIL,1145,Finance,2026-06-27
6,5,1,True,8,33,4,2,3,3,0.6835826436622543,3,2026-05-28,0,10091,AUTORISATION,1018,Finance,2026-06-04
11,0,0,False,3,33,1,2,4,0,0.07981679715979616,27,2026-06-19,1,10092,AUTORISATION,1196,Operations,2026-06-21
7,0,0,False,5,92,2,2,7,0,0.2068077947397717,2,2026-06-10,1,10093,AUTORISATION,1130,Finance,2026-06-14
8,6,1,False,11,31,10,8,2,2,0.5919788151866431,3,2026-05-23,0,10094,AUTORISATION,1091,Engineering,2026-06-02
8,5,2,False,10,14,9,4,1,4,0.7614452181866228,2,2026-05-27,0,10095,TELETRAVAIL,1002,Finance,2026-06-05
6,4,1,True,7,14,10,3,1,2,0.8080529330271548,0,2026-05-19,0,10096,TELETRAVAIL,1004,Operations,2026-05-25
6,0,0,False,3,94,2,2,5,0,0.0808352406581912,29,2026-05-26,1,10097,CONGE,1095,Support,2026-05-28
8,0,0,False,1,18,1,0,9,0,0.1982026226514474,19,2026-05-27,1,10098,AUTORISATION,1022,Sales,2026-05-27
6,0,0,False,4,48,3,2,9,0,0.392946673241813,29,2026-06-04,1,10099,TELETRAVAIL,1190,Support,2026-06-07
5,0,0,False,2,40,2,1,3,1,0.24670247163092363,25,2026-06-30,1,10100,TELETRAVAIL,1108,Support,2026-07-01
6,0,0,False,1,28,3,1,7,1,0.1184131451640103,22,2026-06-10,1,10101,AUTORISATION,1074,Operations,2026-06-10
5,2,1,False,5,15,4,3,3,4,0.61904291501809,0,2026-05-26,0,10102,CONGE,1169,Finance,2026-05-30
6,0,0,False,3,36,0,2,7,0,0.3498300559422287,25,2026-05-24,1,10103,AUTORISATION,1067,Support,2026-05-26
8,0,0,False,2,34,0,2,3,1,0.3109434853310769,9,2026-06-01,1,10104,TELETRAVAIL,1056,Support,2026-06-02
6,1,0,True,6,25,2,0,6,1,0.6812822099620756,4,2026-05-30,1,10105,CONGE,1032,Sales,2026-06-04
8,0,0,False,5,21,1,0,4,1,0.1286131965929327,27,2026-06-01,1,10106,TELETRAVAIL,1014,Support,2026-06-05
8,1,0,False,1,103,3,0,8,1,0.187503718805581,22,2026-06-18,1,10107,AUTORISATION,1030,Operations,2026-06-18
11,1,0,False,5,52,0,2,7,1,0.30033543389794387,19,2026-05-24,1,10108,AUTORISATION,1165,Sales,2026-05-28
6,4,2,True,9,35,6,4,3,2,0.7062179186914312,5,2026-05-21,0,10109,CONGE,1086,Engineering,2026-05-29
6,1,1,True,7,28,5,3,4,1,0.5398781426863961,6,2026-05-27,0,10110,CONGE,1094,Finance,2026-06-02
11,1,0,False,1,87,3,2,7,0,0.17985307536907225,8,2026-05-29,1,10111,AUTORISATION,1149,Finance,2026-05-29
5,3,2,True,7,34,9,4,2,4,0.6814130918535868,6,2026-05-26,0,10112,TELETRAVAIL,1029,Finance,2026-06-01
8,1,0,True,10,27,3,3,4,2,0.35032280732491405,4,2026-06-06,1,10113,AUTORISATION,1018,Sales,2026-06-15
7,5,1,True,3,29,5,3,3,5,0.6110061697517662,6,2026-05-25,0,10114,AUTORISATION,1133,Engineering,2026-05-27
5,0,0,False,1,46,1,0,7,1,0.08100896316967439,27,2026-06-23,1,10115,AUTORISATION,1108,Support,2026-06-23
7,5,2,False,6,3,6,7,3,4,0.8084424743424563,2,2026-05-25,0,10116,TELETRAVAIL,1004,Support,2026-05-30
5,4,1,False,8,30,10,4,1,5,0.7204209152416082,3,2026-05-25,0,10117,TELETRAVAIL,1126,Operations,2026-06-01
7,0,0,False,5,115,3,0,8,1,0.2979966103118754,29,2026-06-07,1,10118,AUTORISATION,1152,Sales,2026-06-11
10,1,0,False,4,42,2,1,7,0,0.10312336388094177,13,2026-06-10,1,10119,TELETRAVAIL,1072,Support,2026-06-13
9,1,0,False,5,76,0,1,3,0,0.319004334272301,10,2026-06-03,1,10120,CONGE,1167,Sales,2026-06-07
3,2,1,False,7,11,5,9,0,2,0.7788508366864376,2,2026-05-20,0,10121,AUTORISATION,1186,Sales,2026-05-26
11,1,0,False,3,98,0,0,6,1,0.2653813028916347,13,2026-05-27,1,10122,CONGE,1142,Operations,2026-05-29
6,0,0,False,3,74,0,1,5,1,0.2610746939477021,0,2026-06-08,1,10123,AUTORISATION,1004,Operations,2026-06-10
4,1,0,True,13,23,3,1,4,1,0.32056766182277174,4,2026-05-21,0,10124,TELETRAVAIL,1134,Finance,2026-06-02
5,4,2,True,12,14,6,3,2,4,0.7210658508761147,5,2026-05-27,0,10125,CONGE,1178,Sales,2026-06-07
3,2,1,True,4,10,4,6,0,2,0.6963424968624183,0,2026-05-19,0,10126,AUTORISATION,1154,Engineering,2026-05-22
3,2,1,True,5,3,10,4,3,4,0.8686399456822911,3,2026-05-27,0,10127,CONGE,1018,Support,2026-05-31
5,3,1,True,12,19,10,7,1,3,0.5986351474153846,2,2026-05-21,0,10128,TELETRAVAIL,1041,Finance,2026-06-01
10,1,0,False,2,35,0,0,3,1,0.15940264938968496,20,2026-05-25,1,10129,AUTORISATION,1170,Engineering,2026-05-26
4,2,1,False,14,35,11,8,1,2,0.5993590645440203,3,2026-05-28,0,10130,TELETRAVAIL,1189,Sales,2026-06-10
3,2,2,False,7,25,7,2,2,2,0.770701303605207,2,2026-05-26,0,10131,TELETRAVAIL,1123,Sales,2026-06-01
6,0,0,False,1,102,1,1,4,0,0.10827870459804281,3,2026-06-22,1,10132,TELETRAVAIL,1032,Sales,2026-06-22
7,1,0,True,5,6,3,2,6,3,0.36878414077480914,6,2026-06-01,1,10133,AUTORISATION,1178,Engineering,2026-06-05
8,1,0,False,3,24,1,0,6,1,0.07819460383280163,9,2026-06-30,1,10134,AUTORISATION,1005,Sales,2026-07-02
7,0,0,False,1,61,2,0,3,0,0.3441127544875764,5,2026-05-30,1,10135,CONGE,1068,Sales,2026-05-30
8,0,0,False,2,112,2,1,4,1,0.3718666483678221,26,2026-06-05,1,10136,AUTORISATION,1019,Finance,2026-06-06
5,0,0,False,4,59,0,0,8,1,0.3279235432952097,22,2026-06-10,1,10137,AUTORISATION,1105,Engineering,2026-06-13
11,0,0,False,1,51,1,2,3,1,0.3224763861778901,27,2026-06-07,1,10138,CONGE,1160,Operations,2026-06-07
8,0,0,False,5,115,1,2,5,1,0.051221044219114775,17,2026-06-03,1,10139,TELETRAVAIL,1064,Sales,2026-06-07
6,0,0,False,5,21,2,1,5,1,0.17260760147494186,12,2026-06-24,1,10140,AUTORISATION,1126,Sales,2026-06-28
8,6,2,True,6,34,8,5,1,3,0.7494795605208936,4,2026-05-22,0,10141,TELETRAVAIL,1064,Operations,2026-05-27
7,0,0,False,1,49,0,1,8,1,0.08581558902405746,11,2026-06-13,1,10142,AUTORISATION,1112,Finance,2026-06-13
10,1,0,False,5,112,0,1,3,1,0.021030396129222154,19,2026-06-25,1,10143,AUTORISATION,1169,Sales,2026-06-29
8,6,1,True,14,24,11,6,0,2,0.8345569825500734,1,2026-05-28,0,10144,AUTORISATION,1047,Support,2026-06-10
8,0,0,False,4,113,1,2,9,1,0.22603116425228223,11,2026-06-14,1,10145,CONGE,1054,Finance,2026-06-17
3,1,1,False,9,3,11,8,3,5,0.7674227124357109,1,2026-05-23,0,10146,AUTORISATION,1175,Support,2026-05-31
7,0,0,False,5,69,1,0,6,1,0.24288457219762885,29,2026-06-07,1,10147,AUTORISATION,1084,Operations,2026-06-11
7,0,0,False,1,107,3,0,8,0,0.12151864736397765,8,2026-05-27,1,10148,AUTORISATION,1174,Engineering,2026-05-27
4,1,0,True,10,14,5,3,2,2,0.5474859112678567,1,2026-05-29,0,10149,CONGE,1116,Support,2026-06-07
9,1,0,True,9,24,2,0,4,3,0.4619976245983269,2,2026-05-28,1,10150,AUTORISATION,1082,Operations,2026-06-05
9,1,0,False,5,108,2,1,6,0,0.014359554402943564,12,2026-07-02,1,10151,CONGE,1106,Sales,2026-07-06
8,6,1,True,11,19,11,5,0,3,0.8768640847044995,6,2026-05-19,0,10152,AUTORISATION,1023,Sales,2026-05-29
3,2,2,False,9,31,8,7,1,5,0.5284027268167419,3,2026-05-20,0,10153,CONGE,1193,Sales,2026-05-28
7,0,0,False,2,38,3,0,3,1,0.28313755776057914,26,2026-06-12,1,10154,TELETRAVAIL,1166,Engineering,2026-06-13
8,5,2,False,4,11,8,5,2,5,0.93731171839102,6,2026-05-28,0,10155,TELETRAVAIL,1140,Finance,2026-05-31
8,1,0,False,2,54,0,1,3,0,0.03097443410417529,17,2026-06-07,1,10156,AUTORISATION,1144,Support,2026-06-08
8,6,1,True,13,8,6,9,3,2,0.732090054329623,4,2026-05-19,0,10157,AUTORISATION,1174,Operations,2026-05-31
8,0,0,False,1,113,0,0,4,0,0.3649795185182567,17,2026-06-05,1,10158,CONGE,1107,Finance,2026-06-05
9,1,0,False,5,81,2,2,7,1,0.13916031030263692,3,2026-06-24,1,10159,CONGE,1094,Sales,2026-06-28
9,1,0,False,2,51,3,0,6,0,0.12829364758138065,5,2026-06-26,1,10160,CONGE,1130,Engineering,2026-06-27
9,1,0,False,4,91,3,0,8,1,0.07516143161459068,24,2026-05-31,1,10161,CONGE,1117,Support,2026-06-03
4,1,0,True,13,11,4,2,4,3,0.32673030188058516,4,2026-05-29,1,10162,AUTORISATION,1118,Sales,2026-06-10
5,1,0,True,5,31,4,4,3,2,0.32413232742968867,8,2026-05-31,0,10163,AUTORISATION,1143,Finance,2026-06-04
8,5,2,False,12,23,6,4,1,4,0.8023343848763302,6,2026-05-23,0,10164,AUTORISATION,1140,Sales,2026-06-03
9,1,0,False,3,22,2,1,6,1,0.2980815371124043,6,2026-06-06,1,10165,TELETRAVAIL,1026,Sales,2026-06-08
5,1,1,True,11,20,4,0,2,3,0.36176923520885695,2,2026-05-22,0,10166,CONGE,1079,Sales,2026-06-01
5,1,0,True,11,51,2,3,3,3,0.3589703813942343,4,2026-06-05,0,10167,TELETRAVAIL,1054,Sales,2026-06-15
7,0,0,False,3,102,2,0,3,0,0.31288447810711806,14,2026-06-20,1,10168,TELETRAVAIL,1149,Engineering,2026-06-22
10,0,0,False,2,42,1,1,4,0,0.18699381577142873,10,2026-06-25,1,10169,TELETRAVAIL,1143,Sales,2026-06-26
4,2,1,True,3,16,9,4,3,3,0.6061987681792487,3,2026-05-20,0,10170,AUTORISATION,1011,Operations,2026-05-22
9,1,0,False,5,81,3,1,7,0,0.3634432986222568,26,2026-05-22,1,10171,TELETRAVAIL,1158,Sales,2026-05-26
8,1,0,False,3,66,1,1,6,0,0.22726694051654583,22,2026-05-22,1,10172,TELETRAVAIL,1128,Operations,2026-05-24
9,0,0,False,4,25,3,2,9,1,0.35595960282893246,26,2026-05-30,1,10173,CONGE,1062,Engineering,2026-06-02
7,0,0,False,4,82,3,1,5,1,0.11851985218139403,16,2026-06-25,1,10174,CONGE,1033,Sales,2026-06-28
6,0,0,False,5,96,1,0,8,0,0.07676846456443416,20,2026-06-17,1,10175,AUTORISATION,1035,Sales,2026-06-21
10,1,0,False,4,32,1,2,9,1,0.094102555366258,28,2026-06-29,1,10176,CONGE,1068,Operations,2026-07-02
5,0,0,False,5,62,2,0,8,1,0.3087397372916621,17,2026-06-09,1,10177,TELETRAVAIL,1147,Operations,2026-06-13
9,0,0,False,3,55,3,2,3,0,0.20756585699483368,6,2026-06-15,1,10178,AUTORISATION,1161,Finance,2026-06-17
5,0,0,False,4,33,1,0,4,0,0.16401951476599771,5,2026-06-05,1,10179,TELETRAVAIL,1095,Finance,2026-06-08
9,2,0,True,8,41,4,1,6,1,0.5919260985211466,2,2026-06-02,0,10180,CONGE,1150,Operations,2026-06-09
5,0,0,False,2,35,0,1,6,0,0.31842417905034837,8,2026-05-27,1,10181,CONGE,1181,Support,2026-05-28
10,1,0,False,1,43,1,0,3,1,0.16081911926282777,27,2026-06-02,1,10182,CONGE,1080,Operations,2026-06-02
6,0,0,False,1,34,3,1,6,1,0.08437375539548518,11,2026-05-23,1,10183,AUTORISATION,1122,Operations,2026-05-23
3,1,1,False,9,11,4,6,2,5,0.5577319663300041,0,2026-05-24,0,10184,AUTORISATION,1031,Operations,2026-06-01
8,5,2,True,14,27,4,8,0,4,0.6295346942216693,2,2026-05-19,0,10185,CONGE,1197,Sales,2026-06-01
8,1,1,True,8,50,5,4,6,3,0.5946092870807551,2,2026-05-29,0,10186,CONGE,1135,Sales,2026-06-05
8,0,0,False,3,115,0,2,8,1,0.39367410597919994,11,2026-06-24,1,10187,TELETRAVAIL,1071,Finance,2026-06-26
5,0,0,False,2,27,2,1,7,1,0.11362052421060619,15,2026-07-02,1,10188,AUTORISATION,1120,Sales,2026-07-03
5,4,1,False,5,12,5,6,1,4,0.8733179340885672,6,2026-05-26,0,10189,CONGE,1091,Sales,2026-05-30
4,3,1,True,8,13,10,8,3,2,0.6783963059141654,2,2026-05-25,0,10190,AUTORISATION,1173,Engineering,2026-06-01
6,3,2,False,11,31,6,3,2,4,0.8506714746086603,5,2026-05-24,0,10191,CONGE,1159,Sales,2026-06-03
7,0,0,False,3,90,0,1,5,1,0.21264516747817575,3,2026-07-01,1,10192,TELETRAVAIL,1024,Support,2026-07-03
5,1,1,True,12,9,3,4,4,1,0.6889384991734392,1,2026-05-23,0,10193,CONGE,1180,Finance,2026-06-03
11,1,0,False,2,39,0,0,4,0,0.02852181367393816,1,2026-05-29,1,10194,AUTORISATION,1017,Engineering,2026-05-30
8,1,0,False,3,26,3,0,7,0,0.25538701110589623,26,2026-06-21,1,10195,TELETRAVAIL,1104,Operations,2026-06-23
9,1,0,False,1,65,0,0,5,1,0.10428151253437785,12,2026-06-05,1,10196,CONGE,1151,Sales,2026-06-05
7,4,2,False,13,3,11,8,0,3,0.5974800638828192,3,2026-05-28,0,10197,AUTORISATION,1130,Operations,2026-06-09
11,1,0,False,2,52,2,0,7,0,0.24941854785709838,18,2026-06-01,1,10198,AUTORISATION,1027,Sales,2026-06-02
7,5,2,True,3,2,7,5,0,5,0.6984331843091165,1,2026-05-25,0,10199,AUTORISATION,1148,Finance,2026-05-27
4,2,1,True,12,19,7,2,2,4,0.7213156616358094,6,2026-05-24,0,10200,AUTORISATION,1105,Finance,2026-06-04
6,3,1,True,9,19,11,4,1,4,0.9329899948406158,3,2026-05-19,0,10201,TELETRAVAIL,1090,Support,2026-05-27
6,0,0,False,1,77,0,1,6,0,0.2933865771199344,23,2026-05-28,1,10202,AUTORISATION,1006,Sales,2026-05-28
8,0,0,False,5,35,1,1,4,0,0.2566245303857409,9,2026-06-30,1,10203,TELETRAVAIL,1057,Finance,2026-07-04
6,0,0,False,5,69,0,2,6,1,0.399531444381922,24,2026-06-29,1,10204,CONGE,1145,Sales,2026-07-03
9,0,0,False,3,94,3,0,9,0,0.2556108841058695,15,2026-06-17,1,10205,AUTORISATION,1171,Support,2026-06-19
11,0,0,False,4,102,0,0,9,0,0.39424844060480324,13,2026-06-13,1,10206,AUTORISATION,1183,Operations,2026-06-16
8,5,1,True,3,20,5,6,2,4,0.6837453601848449,4,2026-05-19,0,10207,AUTORISATION,1161,Sales,2026-05-21
8,0,0,False,1,72,3,2,6,0,0.303736440008955,6,2026-06-09,1,10208,AUTORISATION,1110,Engineering,2026-06-09
5,0,0,False,1,44,2,2,4,1,0.021973995679067704,1,2026-05-26,1,10209,AUTORISATION,1116,Operations,2026-05-26
3,1,2,True,10,24,7,5,0,3,0.9018736181389636,5,2026-05-20,0,10210,CONGE,1002,Support,2026-05-29
4,2,2,True,4,29,9,3,2,2,0.9289167709606365,4,2026-05-24,0,10211,AUTORISATION,1098,Support,2026-05-27
